;or;ex;weight
639;29_t1;23_t2;15.579704284667969
640;29_t1;24_t2;15.579704284667969
641;29_t1;25_t2;15.579704284667969
642;29_t1;26_t2;15.579704284667969
643;29_t1;28_t2;15.579704284667969
644;29_t1;29_t2;15.579704284667969
645;29_t1;30_t2;15.579704284667969
646;30_t1;12_t2;15.579704284667969
647;30_t1;13_t2;15.579704284667969
648;30_t1;16_t2;15.579704284667969
649;30_t1;17_t2;15.579704284667969
650;30_t1;18_t2;15.579704284667969
651;30_t1;19_t2;15.579704284667969
652;30_t1;21_t2;15.579704284667969
653;30_t1;22_t2;15.579704284667969
654;30_t1;24_t2;15.579704284667969
655;30_t1;25_t2;15.579704284667969
656;30_t1;26_t2;15.579704284667969
657;30_t1;27_t2;15.579704284667969
658;30_t1;28_t2;15.579704284667969
659;30_t1;29_t2;15.579704284667969
660;30_t1;30_t2;15.579704284667969
661;0_t2;0_t3;15.391274452209473
662;0_t2;1_t3;14.81955623626709
663;0_t2;3_t3;16.07664680480957
664;0_t2;4_t3;15.411487579345703
665;0_t2;5_t3;15.307783126831055
666;0_t2;6_t3;12.397086143493652
667;0_t2;7_t3;15.604174613952637
668;0_t2;8_t3;15.604174613952637
669;0_t2;10_t3;15.604174613952637
670;0_t2;11_t3;15.604174613952637
671;0_t2;16_t3;15.604174613952637
672;0_t2;17_t3;15.604174613952637
673;0_t2;18_t3;15.604174613952637
674;0_t2;19_t3;15.604174613952637
675;1_t2;0_t3;15.391274452209473
676;1_t2;1_t3;14.81955623626709
677;1_t2;3_t3;16.07664680480957
678;1_t2;4_t3;15.411487579345703
679;1_t2;5_t3;15.307783126831055
680;1_t2;7_t3;15.604174613952637
681;1_t2;8_t3;15.604174613952637
682;1_t2;9_t3;11.988299369812012
683;1_t2;10_t3;15.604174613952637
684;1_t2;11_t3;15.604174613952637
685;1_t2;16_t3;15.604174613952637
686;1_t2;17_t3;15.604174613952637
687;1_t2;21_t3;15.604174613952637
688;1_t2;22_t3;15.604174613952637
689;3_t2;0_t3;15.391274452209473
690;3_t2;1_t3;14.81955623626709
691;3_t2;2_t3;12.546533584594727
692;3_t2;3_t3;16.07664680480957
693;3_t2;5_t3;15.307783126831055
694;3_t2;7_t3;15.604174613952637
695;3_t2;10_t3;15.604174613952637
696;3_t2;12_t3;15.604174613952637
697;3_t2;14_t3;15.97610092163086
698;3_t2;16_t3;15.604174613952637
699;3_t2;20_t3;15.604174613952637
